Source: Infinity Nikki Wiki (Fandom) — Outfits
URL: https://infinity-nikki.fandom.com/wiki/
License: Content available under CC-BY-SA unless otherwise noted.
Released in Version 1.0.
Topic: Outfits — the clothing-set category in Infinity Nikki; complete list of outfit sets with rarity, style, labels, and source compendium.

===================================================================
OVERVIEW
===================================================================
Outfits is a clothing category in Infinity Nikki. They are clothing sets comprised of wardrobe items.

Once a suit is completed, the user will receive a gift. Pieces of each outfit can be obtained in multiple ways.

Categories: Terminology, Wardrobe Categories, Released in Version 1.0.

===================================================================
OUTFIT LIST
===================================================================
657 clothing items match the category selection. Columns: Name, Rarity, Style, Labels, Compendium (source).

| Name | Rarity | Style | Labels | Compendium |
| Luminous Nightflow: Soft Melody | 4 Star | Elegant | Whimsy, Royal | Where All Souls Return |
| Lush Waltz | 3 Star | Elegant | Uniform | Terra's Call |
| Luster Covenant | 4 Star | Sexy | Classical | Where All Souls Return |
| Luster Covenant: Blaze | 4 Star | Sexy | Classical | Where All Souls Return |
| Luster Covenant: Phantasm | 4 Star | Sexy | Classical | Where All Souls Return |
| Mark of Time | 3 Star | Sexy | Terra | Terra's Call |
| Meadow Symphony | 3 Star | Sweet | Royal | Music Season |
| Melody Bloom | 4 Star | Sweet | Whimsy | Terra's Call |
| Melody Bloom: Chasing Light | 4 Star | Sweet | Whimsy | Terra's Call |
| Melody Bloom: Meeting of Stars | 4 Star | Sweet | Whimsy | Terra's Call |
| Midnight Gleam | 3 Star | Sweet | Ballroom | Blue Tears Season |
| Midnight Vigil | 4 Star | Cool | Uniform | Firework Season |
| Midnight Vigil: Embark | 4 Star | Cool | Uniform | Firework Season |
| Midnight Vigil: Return | 4 Star | Cool | Uniform | Firework Season |
| Midnight Vogue | 3 Star | Cool | Fashion | Bubble Season |
| Mist Singer | 3 Star | Fresh | Romance | Terra's Call |
| Mistbound Whispers | 4 Star | Sexy | Fashion, Ballroom | Blue Tears Season |
| Mistbound Whispers: First Meet | 4 Star | Sexy | Fashion, Ballroom | Blue Tears Season |
| Mistbound Whispers: Warmth | 4 Star | Sexy | Fashion, Ballroom | Blue Tears Season |
| Misty Poetics | 3 Star | Elegant | Linlang | Playful Season |
| Moment Capturer | 4 Star | Cool | Retro | Exploration Season |
| Moment Capturer: Bloom | 4 Star | Cool | Retro | Exploration Season |
| Moment Capturer: Dusk | 4 Star | Cool | Retro | Exploration Season |
| Moment of Spring | 3 Star | Fresh | Romance | Encore Season |
| Momo Power | 3 Star | Sweet | Trendy | Terra's Call |
| Momo Rain | 4 Star | Fresh | Playful, Romance | Revelry Season |
| Momo Rain: Newly Ripe | 4 Star | Fresh | Playful, Romance | Revelry Season |
| Momo Rain: Starry Colors | 4 Star | Fresh | Playful, Romance | Revelry Season |
| Monster Girl | 3 Star | Cool | Adventure | Exploration Season |
| Moonlight Oath | 4 Star | Elegant | Fantasy | Exploration Season |
| Moonlight Oath: Scarlet Tears | 4 Star | Elegant | Fantasy | Exploration Season |
| Moonlight Oath: Woods | 4 Star | Elegant | Fantasy | Exploration Season |
| Moonlit Immortal | 4 Star | Sweet | Terra, Ballroom | Chromatic Beings Everbright |
| Moonlit Immortal: Fleeting Life | 4 Star | Sweet | Terra, Ballroom | Chromatic Beings Everbright |
| Moonlit Immortal: Last Banquet | 4 Star | Sweet | Terra, Ballroom | Chromatic Beings Everbright |
| Moonlit Rewind | 3 Star | Elegant | Classical | Life as a Poem |
| Mysterious Adventurer | 3 Star | Cool | Terra | Terra's Call |
| Nameless, Selfless | 5 Star | Sexy | Royal, Formal | Encore Season |
| Nameless, Selfless: Azure Sky | 5 Star | Sexy | Royal, Formal | Encore Season |
| Nameless, Selfless: Ember | 5 Star | Sexy | Royal, Formal | Encore Season |
| Nameless, Selfless: Long Night | 5 Star | Sexy | Royal, Formal | Encore Season |
| Nameless, Selfless: Returning Soul | 5 Star | Sexy | Royal, Formal | Encore Season |
| Nefarious Shadows | 4 Star | Cool | Whimsy | Chromatic Beings Everbright |
| Nefarious Shadows: Enlightened | 4 Star | Cool | Whimsy | Chromatic Beings Everbright |
| Nefarious Shadows: Ethereal | 4 Star | Cool | Whimsy | Chromatic Beings Everbright |
| New Bloom Blessings | 4 Star | Elegant | Linlang, Warm | Firework Season |
| New Bloom Blessings: Endless Joy | 4 Star | Elegant | Linlang, Warm | Firework Season |
| New Bloom Blessings: Meadow | 4 Star | Elegant | Linlang, Warm | Firework Season |
| New Year's Dawn | 4 Star | Elegant | Linlang | Firework Season |
| New Year's Dawn: Peach Blossom | 4 Star | Elegant | Linlang | Exploration Season |
| New Year's Dawn: Spring Tea | 4 Star | Elegant | Linlang | Firework Season |
| Night Capricorn Song | 4 Star | Sexy | Whimsy, Fantasy | Uncrowned Heart |
| Night Capricorn Song: Melodic Gulp | 4 Star | Sexy | Whimsy, Fantasy | Uncrowned Heart |
| Night Capricorn Song: Tenderness | 4 Star | Sexy | Whimsy, Fantasy | Uncrowned Heart |
| Nightlight Whispers | 4 Star | Fresh | Romance, Fairy | Blue Tears Season |
| Nightlight Whispers: Distant Flower | 4 Star | Fresh | Romance, Fairy | Blue Tears Season |
| Nightlight Whispers: Shimmer | 4 Star | Fresh | Romance, Fairy | Blue Tears Season |
| Nighttime Whisper | 3 Star | Cool | Fantasy | Encore Season |
| Nimble Cat | 3 Star | Elegant | Trendy | Danqing Season |
| Pastoral Dance | 4 Star | Fresh | Pastoral, Warm | Revelry Season |
| Pastoral Dance: Forest Path | 4 Star | Fresh | Pastoral, Warm | Revelry Season |
| Pastoral Dance: Snow | 4 Star | Fresh | Pastoral, Warm | Revelry Season |
| Path of Starlight | 3 Star | Sexy | Trendy | Shooting Star Season |
| Path's Farewell | 3 Star | Cool | Pastoral | Encore Season |
| Perfect Moment | 4 Star | Elegant | Linlang, Cute | Chromatic Beings Everbright |
| Perfect Moment: Jade Peak | 4 Star | Elegant | Linlang, Cute | Chromatic Beings Everbright |
| Perfect Moment: Misted | 4 Star | Elegant | Linlang, Cute | Chromatic Beings Everbright |
| Perfect Start | 3 Star | Sweet | Cute | Exploration Season |
| Perpetual Dance | 3 Star | Elegant | Fantasy | Music Season |
| Petalfall Finale | 4 Star | Sexy | Ballroom, Spirited | Where All Souls Return |
| Petalfall Finale: Adrift | 4 Star | Sexy | Ballroom, Spirited | Where All Souls Return |
| Petalfall Finale: Cocoon | 4 Star | Sexy | Ballroom, Spirited | Where All Souls Return |
| Pinecone Encounter | 3 Star | Elegant | Forest | The Forest Need Not Listen |
| Pink Bunny | 3 Star | Sweet | Fashion | Firework Season |
| Pink Ribbon Waltz | 4 Star | Sweet | Cute | Shooting Star Season |
| Pink Ribbon Waltz: Spin | 4 Star | Sweet | Cute | Shooting Star Season |
| Pink Ribbon Waltz: Variation | 4 Star | Sweet | Cute | Shooting Star Season |
| Poem of Emberlight | 4 Star | Elegant | Classical, Formal | Chromatic Beings Everbright |
| Poem of Emberlight: Dizzy | 4 Star | Elegant | Classical, Formal | Chromatic Beings Everbright |
| Poem of Emberlight: Unspoken | 4 Star | Elegant | Classical, Formal | Chromatic Beings Everbright |
| Proof on Stage | 3 Star | Cool | Uniform | Chromatic Beings Everbright |
| Providence Immemorial | 5 Star | Sexy | Divine, Aesthetic | Terra's Call |
| Providence Immemorial: Cycle | 5 Star | Sexy | Divine, Aesthetic | Terra's Call |
| Providence Immemorial: Finality | 5 Star | Sexy | Divine, Aesthetic | Terra's Call |
| Providence Immemorial: Prosperity | 5 Star | Sexy | Divine, Aesthetic | Terra's Call |
| Providence Immemorial: Shackles | 5 Star | Sexy | Divine, Aesthetic | Terra's Call |
| Pulse of the Desert | 4 Star | Sexy | Terra, Adventure | Chromatic Beings Everbright |
| Pulse of the Desert: Expanse | 4 Star | Sexy | Terra, Adventure | Chromatic Beings Everbright |
| Pulse of the Desert: Night | 4 Star | Sexy | Terra, Adventure | Chromatic Beings Everbright |
| Puppet Play | 3 Star | Cool | Playful | Music Season |
| Purifying Wind | 4 Star | Sweet | Divine | Terra's Call |
| Purifying Wind: Dark Night | 4 Star | Sweet | Divine | Terra's Call |
| Purifying Wind: Deepening Dusk | 4 Star | Sweet | Divine | Terra's Call |
| Quirky Idea | 3 Star | Cool | Fantasy | Exploration Season |
| Radiant Crown | 5 Star | Elegant | Glow, Royal | Terra's Call |
| Radiant Crown: Glimmer | 5 Star | Elegant | Glow, Royal | Terra's Call |
| Radiant Night | 4 Star | Elegant | Intellectual | Firework Season |
| Radiant Night: Forest | 4 Star | Elegant | Intellectual | Firework Season |
| Radiant Night: Nocturne | 4 Star | Elegant | Intellectual | Firework Season |
| Rainfall & Blossoms | 5 Star | Elegant | Royal, Fairy | Golden Season |
| Rainfall & Blossoms: Anticipation | 5 Star | Elegant | Royal, Fairy | Golden Season |
| Rainfall & Blossoms: Budding | 5 Star | Elegant | Royal, Fairy | Golden Season |
| Rainfall & Blossoms: Farewell | 5 Star | Elegant | Royal, Fairy | Golden Season |
| Rainfall & Blossoms: Flourish | 5 Star | Elegant | Royal, Fairy | Golden Season |
| Rebirth Wish | 4 Star | Sweet | Retro | Exploration Season |
| Rebirth Wish: Blooming | 4 Star | Sweet | Retro | Exploration Season |
| Rebirth Wish: Renewal | 4 Star | Sweet | Retro | Exploration Season |
| Refined Grace | 3 Star | Cool | Intellectual | Exploration Season |
| Rewound Daydream | 4 Star | Sweet | Spirited, Playful | Uncrowned Heart |
| Rewound Daydream: Absurdity | 4 Star | Sweet | Spirited, Playful | Uncrowned Heart |
| Rewound Daydream: Fragrant Fields | 4 Star | Sweet | Spirited, Playful | Uncrowned Heart |
| Rippling Serenity | 4 Star | Cool | Simple | Exploration Season |
| Rippling Serenity: Dream | 4 Star | Cool | Simple | Exploration Season |
| Rippling Serenity: Sunset | 4 Star | Cool | Simple | Exploration Season |
| Rosie Sweetheart | 3 Star | Sweet | Trendy | Eerie Season |
| Rosy Reverie | 4 Star | Sexy | Retro | Bubble Season |
| Rosy Reverie: Moss | 4 Star | Sexy | Retro | Bubble Season |
| Rosy Reverie: Ripples | 4 Star | Sexy | Retro | Bubble Season |
| Scaly Dream | 4 Star | Cool | Linlang | Exploration Season |
| Scaly Dream: Icy Depths | 4 Star | Cool | Linlang | Exploration Season |
| Scaly Dream: Insects Awakening | 4 Star | Cool | Linlang | Exploration Season |
| Scarlet Dream | 3 Star | Sweet | Retro | Exploration Season |
| School Days | 3 Star | Sweet | Uniform | Exploration Season |
| Sea of Stars | 5 Star | Sexy | Adventure, Fantasy | Bubble Season |
| Sea of Stars: Aurora | 5 Star | Sexy | Adventure, Fantasy | Bubble Season |
| Sea of Stars: Infinity | 5 Star | Sexy | Adventure, Fantasy | Bubble Season |
| Sea of Stars: Morning Star | 5 Star | Sexy | Adventure, Fantasy | Bubble Season |
| Sea of Stars: Reverie | 5 Star | Sexy | Adventure, Fantasy | Bubble Season |
| Searching for Dreams | 3 Star | Sexy | Cute | Exploration Season |
| Seasonal Colors | 3 Star | Fresh | Pastoral | The Forest Need Not Listen |
| Self-Rule | 3 Star | Sweet | Fashion | The Forest Need Not Listen |
| Shadow Swiftweave | 4 Star | Cool | Spirited | Terra's Call |
| Shadow Swiftweave: Leap | 4 Star | Cool | Spirited | Terra's Call |
| Shadow Swiftweave: Mountain Mist | 4 Star | Cool | Spirited | Terra's Call |
| Shark Mirage | 4 Star | Cool | Playful | Exploration Season |
| Shark Mirage: Sand Waves | 4 Star | Cool | Playful | Exploration Season |
| Shark Mirage: Summer | 4 Star | Cool | Playful | Exploration Season |
| She Is Wildfire | 5 Star | Cool | Playful, Spirited | The Forest Need Not Listen |
| She Is Wildfire: Forest | 5 Star | Cool | Playful, Spirited | The Forest Need Not Listen |
| She Is Wildfire: Frontispiece | 5 Star | Cool | Playful, Spirited | The Forest Need Not Listen |
| She Is Wildfire: Journey | 5 Star | Cool | Playful, Spirited | The Forest Need Not Listen |
| She Is Wildfire: Waning Moon | 5 Star | Cool | Playful, Spirited | The Forest Need Not Listen |
| Silent Ode | 4 Star | Elegant | Divine, Retro | Terra's Call |
| Silent Ode: Devoted Heart | 4 Star | Elegant | Divine, Retro | Terra's Call |
| Silent Ode: Judgment | 4 Star | Elegant | Divine, Retro | Terra's Call |
| Silvergale's Aria | 5 Star | Fresh | Ballroom, Fairy | Shooting Star Season |
| Silvergale's Aria: Dark Shadow | 5 Star | Fresh | Ballroom, Fairy | Shooting Star Season |
| Silvergale's Aria: Farewell | 5 Star | Fresh | Ballroom, Fairy | Shooting Star Season |
| Silvergale's Aria: Melody | 5 Star | Fresh | Ballroom, Fairy | Shooting Star Season |
| Silvergale's Aria: Tears | 5 Star | Fresh | Ballroom, Fairy | Shooting Star Season |
| Sky Supplier | 3 Star | Cool | Adventure | Playful Season |
| Slumber by Blossoms | 5 Star | Sweet | Classical, Glow | Where All Souls Return |
| Slumber by Blossoms: Evenfall | 5 Star | Sweet | Classical, Glow | Where All Souls Return |
| Slumber by Blossoms: Flourishing | 5 Star | Sweet | Classical, Glow | Where All Souls Return |
| Slumber by Blossoms: Sunward | 5 Star | Sweet | Classical, Glow | Where All Souls Return |
| Slumber by Blossoms: Tidecall | 5 Star | Sweet | Classical, Glow | Where All Souls Return |
| Snail Message | 3 Star | Cool | Adventure | Encore Season |
| Snowy Ballad | 5 Star | Fresh | Summer, Fairy | Bubble Season |
| Snowy Ballad: Farewell | 5 Star | Fresh | Summer, Fairy | Bubble Season |
| Snowy Ballad: Flame | 5 Star | Fresh | Summer, Fairy | Bubble Season |
| Snowy Ballad: Oath | 5 Star | Fresh | Summer, Fairy | Bubble Season |
| Snowy Ballad: Silken | 5 Star | Fresh | Summer, Fairy | Bubble Season |
| Snowy Encounter | 3 Star | Sweet | Warm | Shooting Star Season |
| Snowy Fragrance | 3 Star | Sweet | Linlang | Firework Season |
| Solitary Silhouette | 4 Star | Sexy | Whimsy, Adventure | Life as a Poem |
| Solitary Silhouette: Scar | 4 Star | Sexy | Whimsy, Adventure | Life as a Poem |
| Solitary Silhouette: Silent Vigil | 4 Star | Sexy | Whimsy, Adventure | Life as a Poem |
| Song Beyond | 4 Star | Fresh | Linlang, Spirited | Chromatic Beings Everbright |
| Song Beyond: Longing | 4 Star | Fresh | Linlang, Spirited | Chromatic Beings Everbright |
| Song Beyond: Unparting | 4 Star | Fresh | Linlang, Spirited | Chromatic Beings Everbright |
| Song of Embers | 4 Star | Elegant | Classical, Royal | Where All Souls Return |
| Song of Embers: First Glow | 4 Star | Elegant | Classical, Royal | Where All Souls Return |
| Song of Embers: Kiss of Fire | 4 Star | Elegant | Classical, Royal | Where All Souls Return |
| Sound of Leaves | 3 Star | Cool | Forest | Terra's Call |
| Soundless Dawn | 5 Star | Elegant | Classical, Aesthetic | Until Tide Ends |
| Soundless Dawn: Floral Melody | 5 Star | Elegant | Classical, Aesthetic | Until Tide Ends |
| Soundless Dawn: Forest Echoes | 5 Star | Elegant | Classical, Aesthetic | Until Tide Ends |
| Soundless Dawn: New Morn | 5 Star | Elegant | Classical, Aesthetic | Until Tide Ends |
| Soundless Dawn: Woven Light | 5 Star | Elegant | Classical, Aesthetic | Until Tide Ends |
| Spectral Mist | 4 Star | Sexy | Ballroom | Eerie Season |
| Spectral Mist: Dawn | 4 Star | Sexy | Ballroom | Eerie Season |
| Spectral Mist: Scarlet Moon | 4 Star | Sexy | Ballroom | Eerie Season |
| Spotlight Pink | 3 Star | Cool | Fashion | Life as a Poem |
| Spring Blossom | 3 Star | Fresh | Pastoral | Music Season |
| Springbloom Enchantment | 4 Star | Fresh | Cute | Bubble Season |
| Springbloom Enchantment: Dreamwhisper | 4 Star | Fresh | Cute | Bubble Season |
| Springbloom Enchantment: Serenity | 4 Star | Fresh | Cute | Bubble Season |
| Star Memory | 3 Star | Cool | Simple | Music Season |
| Star of the Gala | 3 Star | Sexy | Fashion | Shooting Star Season |
| Stardew Valley Encounter | 3 Star | Sweet | Pastoral | Music Season |
| Stardust Flare | 5 Star | Elegant | Romance, Ballroom | Firework Season |
| Stardust Flare: Blaze | 5 Star | Elegant | Romance, Fantasy | Firework Season |
| Stardust Flare: Dawn Mist | 5 Star | Elegant | Romance, Ballroom | Firework Season |
| Stardust Flare: Eternal | 5 Star | Elegant | Romance, Fantasy | Firework Season |
| Stardust Flare: Golden | 5 Star | Elegant | Romance, Fantasy | Firework Season |
| Starfall Radiance | 4 Star | Elegant | Romance | Shooting Star Season |
| Starfall Radiance: Dreamy Night | 4 Star | Elegant | Romance | Shooting Star Season |
| Starfall Radiance: Starfire | 4 Star | Elegant | Romance | Shooting Star Season |
| Starlet Burst | 4 Star | Sweet | Fantasy | Exploration Season |
| Starlet Burst: Glow | 4 Star | Sweet | Fantasy | Exploration Season |
| Starlet Burst: Green Shore | 4 Star | Sweet | Fantasy | Exploration Season |
| Starlit Celebration | 4 Star | Sweet | Cute | Exploration Season |
| Starlit Celebration: Happiness | 4 Star | Sweet | Cute | Exploration Season |
| Starlit Celebration: Sublime Intent | 4 Star | Sweet | Cute | Exploration Season |
| Starry Nocturne | 4 Star | Sexy | Fashion, Summer | Music Season |
| Starry Nocturne: Resound | 4 Star | Sexy | Fashion, Summer | Music Season |
| Starry Nocturne: Sunrise | 4 Star | Sexy | Fashion, Summer | Music Season |
| Starry Path | 3 Star | Sweet | Trendy | Blue Tears Season |
| Starwish Echoes | 4 Star | Sexy | Fairy | Exploration Season |
| Starwish Echoes: Devotion | 4 Star | Sexy | Fairy | Exploration Season |
| Starwish Echoes: Promise | 4 Star | Sexy | Fairy | Exploration Season |
| Starwoven Dreams | 4 Star | Sexy | Spirited, Ballroom | Terra's Call |
| Starwoven Dreams: Dusk Clouds | 4 Star | Sexy | Spirited, Ballroom | Terra's Call |
| Starwoven Dreams: Gilded Night | 4 Star | Sexy | Spirited, Ballroom | Terra's Call |
| Steps Against Order | 4 Star | Cool | Whimsy, Classical | Until Tide Ends |
| Steps Against Order: Rebel | 4 Star | Cool | Whimsy, Classical | Until Tide Ends |
| Steps Against Order: Unruly Fancy | 4 Star | Cool | Whimsy, Classical | Until Tide Ends |
| Summer Stroll | 3 Star | Fresh | Simple | Chromatic Beings Everbright |
| Sunflower Chronicle | 4 Star | Sexy | Forest, Pastoral | Terra's Call |
| Sunflower Chronicle: Forest Dawn | 4 Star | Sexy | Forest, Pastoral | Terra's Call |
| Sunflower Chronicle: Full Bloom | 4 Star | Sexy | Forest, Pastoral | Terra's Call |
| Sunlit Grasspom | 3 Star | Fresh | Pastoral | Firework Season |
| Sunlit Plush Bear | 3 Star | Sweet | Playful | Until Tide Ends |
| Swallow Whispers | 3 Star | Sweet | Linlang | Music Season |
| Sweet Diagnosis | 3 Star | Sweet | Playful | Revelry Season |
| Sweet Honey | 3 Star | Elegant | Retro | Exploration Season |
| Sweet Jazz Nights | 4 Star | Sweet | Cute | Exploration Season |
| Sweet Jazz Nights: Afternoon Dream | 4 Star | Sweet | Cute | Exploration Season |
| Sweet Jazz Nights: Waltz | 4 Star | Sweet | Cute | Exploration Season |
| Sweet Memories | 4 Star | Sweet | Cute, Pastoral | Encore Season |
| Sweet Memories: First Light | 4 Star | Sweet | Cute, Pastoral | Encore Season |
| Sweet Memories: Past | 4 Star | Sweet | Cute, Pastoral | Encore Season |
| Sweet Rhapsody | 3 Star | Fresh | Retro | Blue Tears Season |
| Sweet Traces | 3 Star | Elegant | Uniform | Encore Season |
| Sweet Waltz | 4 Star | Fresh | Whimsy, Pastoral | Terra's Call |
| Sweet Waltz: Honeyed Amber | 4 Star | Fresh | Whimsy, Pastoral | Terra's Call |
| Sweet Waltz: Serene Stars | 4 Star | Fresh | Whimsy, Pastoral | Terra's Call |
| Sword Master | 4 Star | Cool | Linlang, Adventure | Danqing Season |
| Sword Master: Red Leaves | 4 Star | Cool | Linlang, Adventure | Danqing Season |
| Sword Master: Twilight Whisper | 4 Star | Cool | Linlang, Adventure | Danqing Season |
| Symphony of Strings | 4 Star | Sweet | Romance | Exploration Season |
| Symphony of Strings: Sunlit Serenity | 4 Star | Sweet | Romance | Exploration Season |
| Symphony of Strings: Woods | 4 Star | Sweet | Romance | Exploration Season |
| Tasting the World | 4 Star | Sweet | Linlang | Chromatic Beings Everbright |
| Tasting the World: Honey Brew | 4 Star | Sweet | Linlang | Chromatic Beings Everbright |
| Tasting the World: Quintessence | 4 Star | Sweet | Linlang | Chromatic Beings Everbright |
| The Fifth Flavor | 4 Star | Cool | Fantasy, Spirited | Uncrowned Heart |
| The Fifth Flavor: Floating Wishes | 4 Star | Cool | Fantasy, Spirited | Uncrowned Heart |
| The Fifth Flavor: Renewal | 4 Star | Cool | Fantasy, Spirited | Uncrowned Heart |
| The Perfectionist | 3 Star | Sexy | Intellectual | Eerie Season |
| The Queen's Move | 4 Star | Cool | Royal | Revelry Season |
| The Queen's Move: Endgame | 4 Star | Cool | Royal | Revelry Season |
| The Queen's Move: Unfinished | 4 Star | Cool | Royal | Revelry Season |
| Thought in Bloom | 4 Star | Elegant | Intellectual, Linlang | Danqing Season |
| Thought in Bloom: First Light | 4 Star | Elegant | Intellectual, Linlang | Danqing Season |
| Thought in Bloom: Moonlit Veil | 4 Star | Elegant | Intellectual, Linlang | Danqing Season |
| Thousand Flames | 4 Star | Sweet | Linlang, Romance | Chromatic Beings Everbright |
| Thousand Flames: Kindled | 4 Star | Sweet | Linlang, Romance | Chromatic Beings Everbright |
| Thousand Flames: Reverie | 4 Star | Sweet | Linlang, Romance | Chromatic Beings Everbright |
| Tide of Tears | 5 Star | Fresh | Fantasy, Adventure | Blue Tears Season |
| Tide of Tears: Amber Fire | 5 Star | Fresh | Fantasy, Adventure | Blue Tears Season |
| Tide of Tears: Lament | 5 Star | Fresh | Fantasy, Adventure | Blue Tears Season |
| Tide of Tears: Scales | 5 Star | Fresh | Fantasy, Adventure | Blue Tears Season |
| Tide of Tears: Snow | 5 Star | Fresh | Fantasy, Adventure | Blue Tears Season |
| Timeless Echo | 4 Star | Elegant | Retro | Exploration Season |
| Timeless Echo: Faraway | 4 Star | Elegant | Retro | Exploration Season |
| Timeless Echo: Way Home | 4 Star | Elegant | Retro | Exploration Season |
| Timeless Melody | 5 Star | Sweet | Retro, Playful | Eerie Season |
| Timeless Melody: Lullaby | 5 Star | Sweet | Retro, Playful | Eerie Season |
| Timeless Melody: Rhapsody | 5 Star | Sweet | Retro, Playful | Eerie Season |
| Timeless Melody: Symphony | 5 Star | Sweet | Retro, Playful | Eerie Season |
| Timeless Melody: Variations | 5 Star | Sweet | Retro, Playful | Eerie Season |
| Tonight's Wind and Moon | 4 Star | Fresh | Linlang, Aesthetic | Where All Souls Return |
| Tonight's Wind and Moon: Unfettered | 4 Star | Fresh | Linlang, Aesthetic | Where All Souls Return |
| Tonight's Wind and Moon: Wistfulness | 4 Star | Fresh | Linlang, Aesthetic | Where All Souls Return |
| Twilight Finale | 3 Star | Cool | Trendy | Terra's Call |
| Twilight Oath | 4 Star | Cool | Warm, Retro | Playful Season |
| Twilight Oath: Blaze | 4 Star | Cool | Warm, Retro | Playful Season |
| Twilight Oath: Slumber | 4 Star | Cool | Warm, Retro | Playful Season |
| Unfettered Meadow | 3 Star | Elegant | Retro | Where All Souls Return |
| Unseen Entity | 3 Star | Cool | Adventure | Exploration Season |
| Verdant Chord | 4 Star | Fresh | Classical | Where All Souls Return |
| Verdant Chord: New Life | 4 Star | Fresh | Classical | Where All Souls Return |
| Verdant Chord: Woven Melody | 4 Star | Fresh | Classical | Where All Souls Return |
| Verdant Melodies | 4 Star | Fresh | Pastoral | Firework Season |
| Verdant Melodies: Farewell | 4 Star | Fresh | Pastoral | Firework Season |
| Verdant Melodies: Journey's End | 4 Star | Fresh | Pastoral | Firework Season |
| Verdant Verse | 4 Star | Cool | Terra, Retro | Life as a Poem |
| Verdant Verse: Cycle | 4 Star | Cool | Terra, Retro | Life as a Poem |
| Verdant Verse: Flare | 4 Star | Cool | Terra, Retro | Life as a Poem |
| Visionary Dreamer | 4 Star | Fresh | Uniform | Uncrowned Heart |
| Visionary Dreamer: Clear Sky | 4 Star | Fresh | Uniform | Uncrowned Heart |
| Visionary Dreamer: Verdant Forest | 4 Star | Fresh | Uniform | Uncrowned Heart |
| Warm Holiday | 3 Star | Fresh | Warm | Chromatic Beings Everbright |
| Water's Echo | 4 Star | Sweet | Pastoral, Retro | Bubble Season |
| Water's Echo: Melody | 4 Star | Sweet | Pastoral, Retro | Bubble Season |
| Water's Echo: Wave Song | 4 Star | Sweet | Pastoral, Retro | Bubble Season |
| Wheat & Sunlight | 3 Star | Cool | Playful | Golden Season |
| Where Wanxiang Weaves Life | 5 Star | Sexy | Terra, Aesthetic | Chromatic Beings Everbright |
| Where Wanxiang Weaves Life: Benevolence | 5 Star | Sexy | Terra, Aesthetic | Chromatic Beings Everbright |
| Where Wanxiang Weaves Life: Empathy | 5 Star | Sexy | Terra, Aesthetic | Chromatic Beings Everbright |
| Where Wanxiang Weaves Life: Integrity | 5 Star | Sexy | Terra, Aesthetic | Chromatic Beings Everbright |
| Where Wanxiang Weaves Life: Lived World | 5 Star | Sexy | Terra, Aesthetic | Chromatic Beings Everbright |
| Whimsical Picnic | 3 Star | Elegant | Summer | Exploration Season |
| Whispered Dreams | 4 Star | Sweet | Glow, Fairy | Where All Souls Return |
| Whispered Dreams: Covenant | 4 Star | Sweet | Glow, Fairy | Where All Souls Return |
| Whispered Dreams: Dreamwish | 4 Star | Sweet | Glow, Fairy | Where All Souls Return |
| Whispers of Bliss | 4 Star | Sweet | Cute | Firework Season |
| Whispers of Bliss: Brilliant Bloom | 4 Star | Sweet | Cute | Firework Season |
| Whispers of Bliss: Sweetness | 4 Star | Sweet | Cute | Firework Season |
| Whispers of Waves | 5 Star | Sexy | Formal, Fashion | Exploration Season |
| Whispers of Waves: Echoes | 5 Star | Sexy | Formal, Fashion | Exploration Season |
| Whispers of Waves: Falling Twilight | 5 Star | Sexy | Formal, Fashion | Exploration Season |
| Whispers of Waves: Forest | 5 Star | Sexy | Formal, Fashion | Exploration Season |
| Whispers of Waves: Phantom | 5 Star | Sexy | Formal, Fashion | Exploration Season |
| Wind of Purity | 4 Star | Elegant | Romance | Exploration Season |
| Wind of Purity: Dawn | 4 Star | Elegant | Romance | Exploration Season |
| Wind of Purity: Unbloomed | 4 Star | Elegant | Romance | Exploration Season |
| Windowsill Whispers | 3 Star | Fresh | Terra | Life as a Poem |
| Wings of Wishes | 5 Star | Cool | Fantasy, Playful | Shooting Star Season |
| Wings of Wishes: Gentle Dawn | 5 Star | Cool | Fantasy, Playful | Shooting Star Season |
| Wings of Wishes: Moonlit | 5 Star | Cool | Fantasy, Playful | Shooting Star Season |
| Wings of Wishes: Past | 5 Star | Cool | Fantasy, Playful | Shooting Star Season |
| Wings of Wishes: Sunny | 5 Star | Cool | Fantasy, Playful | Shooting Star Season |
| Wishful Aurosa | 5 Star | Elegant | Formal, Retro | Exploration Season |
| Wishful Aurosa: Blooming | 5 Star | Elegant | Formal, Retro | Exploration Season |
| Wishful Aurosa: Daybreak | 5 Star | Elegant | Formal, Retro | Exploration Season |
| Wishful Aurosa: Misty Dream | 5 Star | Elegant | Formal, Retro | Exploration Season |
| Wishful Aurosa: Shadow | 5 Star | Elegant | Formal, Retro | Exploration Season |
| Woodland Nesting | 4 Star | Elegant | Fairy, Pastoral | Encore Season |
| Woodland Nesting: Ashes | 4 Star | Elegant | Fairy, Pastoral | Encore Season |
| Woodland Nesting: Dream Invitation | 4 Star | Elegant | Fairy, Pastoral | Encore Season |
| Woolfruit Siesta | 3 Star | Elegant | Intellectual | Exploration Season |

===================================================================
HIDDEN OUTFITS
===================================================================
5 clothing items match the category selection.

| Name | Rarity | Style | Labels | Compendium |
| --- | --- | --- | --- | --- |
| Maiden's Garden | 3 Star | Fresh | Pastoral | Unknown |
